City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,fort mcmurray,56.7268,-111.381,-7.23,86,100,1.03,CA,1707357931
231,westport,41.1415,-73.3579,4.16,66,100,0.45,US,1707358198
232,mordovo,52.0834,40.77,0.21,91,92,9.42,RU,1707358198
233,bay roberts,47.5999,-53.2648,-1.64,89,55,4.02,CA,1707358198
234,sinop,41.7711,34.8709,8.47,55,100,2.76,TR,1707358186
235,twon-brass,4.3151,6.2418,26.93,82,13,2.04,NG,1707358199
236,sinabang,2.4803,96.3801,28.29,74,92,0.85,ID,1707358199
237,sao jose da coroa grande,-8.8978,-35.1478,26.89,80,99,3.83,BR,1707358199
238,ulaangom,49.9811,92.0667,-30.46,97,99,0.67,MN,1707358199
239,hauterive,46.0901,3.4459,11.42,88,99,2.94,FR,1707358199
240,kerbakhiar,40.1067,46.0383,-1.42,80,10,4.11,AZ,1707358200
241,hailey,43.5196,-114.3153,-4.6,97,99,1.3,US,1707358200
242,kurchatov,51.6601,35.6521,0.23,85,78,7.15,RU,1707358200
243,illushi,6.6667,6.6308,23.94,24,5,0.86,NG,1707358200
244,pisco,-13.7,-76.2167,24.03,88,0,6.69,PE,1707358110
245,luanda,-8.8368,13.2343,27.0,83,40,2.06,AO,1707357973
246,garoowe,8.4054,48.4845,19.34,87,12,5.01,SO,1707357935
247,robit,12.0167,39.6333,17.33,96,99,1.72,ET,1707358201
248,san luis de la loma,17.2706,-100.8939,24.71,76,1,2.24,MX,1707358201
249,umba,66.6871,34.3429,-26.67,99,89,1.25,RU,1707358201
250,yarmouth,41.7057,-70.2286,1.65,84,75,4.92,US,1707358158
251,crane,31.3974,-102.3501,13.63,48,84,1.61,US,1707358202
252,tara,56.8944,74.371,-9.33,95,56,3.74,RU,1707358202
253,namibe,-15.1961,12.1522,25.19,77,100,4.0,AO,1707358182
254,narragansett,41.4501,-71.4495,2.12,60,0,1.54,US,1707358203
255,nuuk,64.1835,-51.7216,-8.66,67,100,6.71,GL,1707357981
256,tourlaville,49.6383,-1.5664,11.68,100,100,4.63,FR,1707358204
257,qahderijan,32.5767,51.455,-2.47,57,0,1.9,IR,1707358204
258,linjiang,41.8069,126.9078,-6.83,74,21,0.26,CN,1707358204
259,quellon,-43.1167,-73.6167,10.72,86,49,1.47,CL,1707358206
260,wahpeton,46.2652,-96.6059,9.41,100,100,8.23,US,1707358207
261,tshabong,-26.05,22.45,25.93,31,94,3.73,BW,1707358207
262,fale old settlement,-9.3852,-171.2468,27.73,83,100,7.11,TK,1707358190
263,igrim,63.1906,64.4162,-5.35,92,100,3.52,RU,1707358208
264,essaouira,31.5125,-9.77,17.04,48,38,2.3,MA,1707358208
265,lensk,60.7253,114.9278,-27.31,99,61,0.21,RU,1707358208
266,lazaro cardenas,17.9583,-102.2,24.78,78,25,2.73,MX,1707358052
267,yamada,39.4667,141.95,4.92,42,12,1.2,JP,1707358209
